AA118,half,半,bàn
AA119,"to wait",等,děng
AA120,"to walk",走,zǒu
AA121,road,路,lù
AA122,"to go to work",上班,"shàng bān"
AA123,"go off work",下班,"xià bān"
AA124,cinema,电影院,"diàn yǐng yuàn"
AA125,"a watch",表,biǎo
AA126,clock,钟,zhōng
AA127,before,以前,"yǐ qián"
AA128,day,天,tiān
AA129,every,每,měi
AA130,"to get up",起床,"qǐ chuáng"
AA131,"to rise",起,qǐ
AA132,bed,床,chuáng
AA133,morning,上午,"shàng wǔ"
AA134,"to eat",吃,chī
AA135,meal,饭,fàn
AA136,many,多,duō
AA137,afternoon,下午,"xià wǔ"
AA138,"to rest",休息,"xiū xi"
AA139,sometimes,有时候,"yǒu shí hou"
AA140,time,时候,"shí hou"
AA141,question,问题,"wèn tí"
AA142,"to sleep",睡觉,"shuì jiào"
AA143,"to want",要,yào
AA144,waiter,服务员,"fú wù yuán"
AA145,cup,杯,bēi
AA146,miss,小姐,"xiǎo jie"
AA147,"to like",喜欢,"xǐ huan"
AA148,"scented tea",花茶,"huā chá"
AA149,"black tea",红茶,"hóng chá"
AA150,red,红,hóng
AA151,or,还是,"hái shì"
AA152,"orange juice",桔子水,"jú zi shuǐ"
AA153,orange,桔子,"jú zi"
AA154,water,水,shuǐ
AA155,bottle,瓶,píng
AA156,beer,啤酒,"pí jiǔ"
AA157,"to listen",听,tīng
AA158,"folk song",民歌,"mín gē"
AA159,classical,古典,"gǔ diǎn"
AA160,music,音乐,"yīn yuè"
AA161,modern,现代,"xiàn dài"
AA162,"to sing",唱,chàng
AA163,song,歌儿,gēr
AA164,"to ask",让,ràng
AA165,"do not",别,bié
AA166,branch,枝,zhī
AA167,apple,苹果,"píng guǒ"
AA168,banana,香蕉,"xiāng jiāo"
AA169,grape,葡萄,"pú tao"
AA170,record,唱片,"chàng piàn"
AA171,"green tea",绿茶,"lǜ chá"
AA172,month,月,yuè
AA173,birthday,生日,"shēng rì"
AA174,today,今天,"jīn tiān"
AA175,class,班,bān
AA176,"to coach",辅导,"fǔ dǎo"
AA177,"day of a month",号,hào
AA178,"free time",空儿,kòngr
AA179,"this year",今年,"jīn nián"
AA180,age,岁,suì
AA181,congratulation,祝贺,"zhù hè"
AA182,party,舞会,"wǔ huì"
AA183,"to attend",参加,"cān jiā"
AA184,classmate,同学,"tóng xué"
AA185,surely,一定,"yī dìng"
AA186,interesting,有意思,"yǒu yì si"
AA187,week,星期,"xīng qī"
AA188,Sunday,星期日,"xīng qī rì"
AA189,"to know",知道,"zhī dao"
AA190,address,地址,"dì zhǐ"
AA191,year,年,nián
AA192,"last year",去年,"qù nián"
AA193,"next year",明年,"míng nián"
AA194,concert,音乐会,"yīn yuè huì"
AA195,"to get married",结婚,"jié hūn"
AA196,"I'm sorry",对不起,"duì bu qǐ"
AA197,appointment,约会,"yuē huì"
AA198,"it doesn't matter",没关系,"méi guān xi"
AA199,"to chat",谈,tán
