"key","Chinese","Pinyin","English"
"AA70","代表团","dài biǎo tuán","delegation"
"AA71","代表","dài biǎo","representative"
"AA72","参观","cān guān","to visit"
"AA73","工厂","gōng chǎng","factory"
"AA74","工人","gōng rén","worker"
"AA75","访问","fǎng wèn","to call on"
"AA76","照片","zhào piàn","photo"
"AA77","明天","míng tiān","tomorrow"
"AA78","城","chéng","city"
"AA79","外边","wài biān","outside"
"AA80","玩儿","wánr","to play"
"AA81","出发","chū fā","to start out"
"AA82","开车","kāi chē","to drive a car"
"AA83","接人","jiē rén","to meet a person"
"AA84","号码","hào mǎ","number"
"AA85","点心","diǎn xīn","pastry"
"AA86","农村","nóng cūn","countryside"
"AA87","农民","nóng mín","peasant"
"AA88","火车","huǒ chē","train"
"AA89","锻炼","duàn liàn","to do physical training"
"AA90","回答","huí dá","to reply"
"AA91","些","xiē","some"
"AA92","难","nán","difficult"
"AA93","生词","shēng cí","new word"
"AA94","词","cí","word"
"AA95","念","niàn","to read aloud"
"AA96","练习","liàn xí","to practise"
"AA97","认真","rèn zhēn","serious"
"AA98","懂","dǒng","to understand"
"AA99","晚","wǎn","late"
"AA100","停","tíng","to stop"
"AA101","河","hé","river"
"AA102","游泳","yóu yǒng","to swim"
"AA103","准备","zhǔn bèi","to prepare"
"AA104","钓","diào","to fish"
"AA105","鱼","yú","fish"
"AA106","汤","tāng","soup"
"AA107","快","kuài","fast"
"AA108","哪里","nǎ li","it is nothing"
"AA109","慢","màn","slow"
"AA110","教练","jiào liàn","coach"
"AA111","不错","bú cuò","pretty good"
"AA112","面包","miàn bāo","bread"
"AA113","火腿","huǒ tuǐ","ham"
"AA114","一点儿","yī diǎnr","a little"
"AA115","奶酪","nǎi lào","cheese"
"AA116","再","zài","again"
"AA117","矿泉水","kuàng quán shuǐ","mineral water"
"AA118","清楚","qīng chu","clear"
"AA119","流利","liú lì","fluent"
"AA120","整齐","zhěng qí","tidy"
"AA121","菜","cài","dish"
"AA122","牛奶","niú nǎi","milk"
"AA123","比较","bǐ jiào","to compare"
"AA124","研究","yán jiū","to research"
"AA125","文学","wén xué","literature"
"AA126","早","zǎo","early"
"AA127","谈","tán","to talk"
"AA128","会","huì","can"
"AA129","当","dāng","to act as"
"AA130","翻译","fān yì","interpreter"
"AA131","能","néng","to be able"
"AA132","加深","jiā shēn","to deepen"
"AA133","人民","rén mín","people"
"AA134","了解","liǎo jiě","to understand"
"AA135","有名","yǒu míng","famous"
"AA136","作家","zuò jiā","author"
"AA137","或者","huò zhě","maybe"
"AA138","就","jiù","at once"
"AA139","应该","yīng gāi","should"
"AA140","俩","liǎ","both"
"AA141","可以","kě yǐ","may/can"
"AA142","理想","lǐ xiǎng","ideal"
"AA143","可是","kě shì","but/however"
"AA144","容易","róng yì","easy"
"AA145","成语","chéng yǔ","proverb"
"AA146","歌剧","gē jù","opera"
"AA147","小说","xiǎo shuō","novel"
"AA148","诗歌","shī gē","poem"
"AA149","画","huà","to draw"
"AA150","画儿","huàr","drawing"
"AA151","晚饭","wǎn fàn","supper"
"AA152","进来","jìn lái","to enter"
"AA153","开始","kāi shǐ","to begin"
"AA154","大使馆","dà shǐ guǎn","embassy"
"AA155","大使","dà shǐ","ambassador"
"AA156","招待会","zhāo dài huì","reception"
"AA157","酒","jiǔ","alcohol"
"AA158","尝","cháng","to taste"
"AA159","为","wèi","for/to"
"AA160","健康","jiàn kāng","health"
"AA161","干杯","gān bēi","to drink a toast"
"AA162","友谊","yǒu yì","friendship"
"AA163","葡萄酒","pú táo jiǔ","grape wine"
"AA164","葡萄","pú tao","grape"
"AA165","菜","cài","dish"
"AA166","筷子","kuài zi","chopsticks"
"AA167","试","shì","to try"
"AA168","文化","wén huà","culture"
"AA169","夫人","fū ren","Mrs."
"AA170","又","yòu","again"
"AA171","大家","dà jiā","everybody"
"AA172","到","dào","to arrive"
"AA173","楼","lóu","floor"
"AA174","病","bìng","illness"
"AA175","小学生","xiǎo xué shēng","pupil"
"AA176","足球","zú qiú","football"
"AA177","球","qiú","ball"
"AA178","赛","sài","competition"
"AA179","昨天","zuó tiān","yesterday"
"AA180","办","bàn","to handle"
"AA181","签证","qiān zhèng","visa"
"AA182","午饭","wǔ fàn","lunch"
"AA183","队","duì","team"
"AA184","赢","yíng","to win"
"AA185","输","shū","to lose"
"AA186","公平","gōng píng","fair"
"AA187","踢","tī","to kick"
"AA188","行李","xíng li","luggage"
"AA189","箱子","xiāng zi","suitcase"
"AA190","帽子","mào zi","hat"
"AA191","双","shuāng","pair"
"AA192","冰鞋","bīng xié","skates"
"AA193","鞋","xié","shoes"
"AA194","冬天","dōng tiān","winter"
"AA195","滑冰","huá bīng","to skate"
"AA196","早饭","zǎo fàn","breakfast"
"AA197","体育场","tǐ yù chǎng","stadium"
"AA198","公园","gōng yuán","park"
"AA199","运动","yùn dòng","sports"
"AA200","篮球","lán qiú","basketball"
"AA201","排球","pái qiú","volleyball"
"AA202","滑雪","huá xuě","to ski"
"AA203","飞机","fēi jī","aeroplane"
"AA204","起飞","qǐ fēi","to take off"
"AA205","机场","jī chǎng","airport"
"AA206","分别","fēn bié","to separate"
"AA207","愿意","yuàn yì","to be willing"
"AA208","离开","lí kāi","to leave"
"AA209","见面","jiàn miàn","to meet each other"
"AA210","见","jiàn","to meet"
"AA211","所以","suǒ yǐ","therefore"
"AA212","进步","jìn bù","to progress"
"AA213","努力","nǔ lì","hard-working/studious"
"AA214","照相","zhào xiàng","take a picture"
"AA215","站","zhàn","to stand"
"AA216","紧","jǐn","tight"
"AA217","上","shàng","to board"
"AA218","注意","zhù yì","to pay attention to"
"AA219","身体","shēn tǐ","health"
"AA220","放心","fàng xīn","to be at ease"
"AA221","忘","wàng","to forget"
"AA222","难过","nán guò","sad"
"AA223","明年","míng nián","next year"
"AA224","夏天","xià tiān","summer"
"AA225","秋天","qiū tiān","autumn"
"AA226","一路平安","yí lù píng ān","bon voyage"
"AA227","船","chuán","ship"
"AA228","送行","sòng xíng","to see someone off"
"AA229","旅行","lǚ xíng","to travel"
"AA230","笑","xiào","to smile"
"AA231","心","xīn","heart"
"AA232","送","sòng","to see someone off"
"AA233","女儿","nǚ ér","daughter"
"AA234","去年","qù nián","last year"
"AA235","东西","dōng xi","thing"
"AA236","哭","kū","to cry"
"AA237","离","lí","to leave"
"AA238","远","yuǎn","distant"
"AA239","热情","rè qíng","enthusiastic"
"AA240","自己","zì jǐ","self"
